Risk Rating,Country Code,Institution,Kind,Security credentials,End-user lists,Espionage or misconduct
HIGH,CN,Xuan Wu Hospital of the Capital Medical University,,,,
HIGH,CN,Henan Agricultural University,,,,
HIGH,CN,Institute of Biophysics,,,,
HIGH,CN,Institute of Metals Research,Chinese Academy of Sciences,,,
HIGH,CN,Second Military Medical University,Military,,,
HIGH,CN,Wenzhou University,,,,
HIGH,CN,Shaanxi University of Science and Technology,,,,
HIGH,CN,Nanfang Hospital,,,,
HIGH,CN,Shanghai Ocean University,,,,
HIGH,CN,Institute of Applied Ecology,Chinese Academy of Sciences,,,
HIGH,CN,Southwest Petroleum University,,,,
HIGH,CN,University of Jinan,,,,
HIGH,CN,Guilin University of Electronic Technology,,,,
HIGH,CN,Guangxi Medical University,,,,
HIGH,CN,National Astronomical Observatories,Chinese Academy of Sciences,,,
HIGH,CN,Institute of Semiconductors,Chinese Academy of Sciences,,,
HIGH,CN,Shanghai Astronomical Observatory,Chinese Academy of Sciences,,,
MEDIUM,CN,BGI Group,,,,
HIGH,CN,China Jiliang University,,,,
HIGH,CN,Ministry of Natural Resources,,,,
HIGH,CN,China Three Gorges University,,,,
HIGH,CN,Institute of Mechanics,Chinese Academy of Sciences,,,
MEDIUM,CN,Huawei Technologies,,,,
HIGH,CN,Beijing Computational Science Research Center,Military,,Yes,
HIGH,CN,Xi'an University of Architecture and Technology,,,,
HIGH,CN,China Academy of Chinese Medical Sciences,,,,
HIGH,CN,Chinese Academy of Geological Sciences,,,,
HIGH,CN,Dalian Medical University,,,,
HIGH,CN,Tianjin University of Technology,,,,
HIGH,CN,National Space Science Center,Chinese Academy of Sciences,,,
HIGH,CN,First Affiliated Hospital of GuangXi Medical University,,,,
HIGH,CN,Lanzhou Institute of Chemical Physics,,,,
HIGH,CN,Shanghai University of Engineering Sciences,,,,
HIGH,CN,Center for High Pressure Science and Technology Advanced Research,Military,,Yes,
HIGH,CN,Institute of Information Engineering,Chinese Academy of Sciences,,,
HIGH,CN,Tianjin University of Science and Technology,,,,
HIGH,CN,Qingdao University of Technology,,,,
HIGH,CN,Xijing Hospital,Military,,,
HIGH,CN,Institute of Earth Environment,Chinese Academy of Sciences,,,
HIGH,CN,Chinese People's Liberation Army,,,,
HIGH,CN,Chinese Academy of Fishery Sciences,,,,
HIGH,CN,Xinjiang Institute of Ecology and Geography,Chinese Academy of Sciences,,,
HIGH,CN,First Affiliated Hospital of Anhui Medical University,,,,
HIGH,CN,Institute of Software,Chinese Academy of Sciences,,,
HIGH,CN,Academy of Military Medical Sciences,Military,,Yes,
HIGH,CN,"Changchun Institute of Optics, Fine Mechanics and Physics",Chinese Academy of Sciences,,,
HIGH,CN,Zhujiang Hospital,,,,
HIGH,CN,Chengdu University of Information Technology,,,,
HIGH,CN,Shanghai Pulmonary Hospital,,,,
HIGH,CN,China Institute of Water Resources and Hydropower Research,,,,
HIGH,CN,Changhai Hospital,Military,,,
HIGH,CN,China Geological Survey,,,,
HIGH,CN,ShenZhen People’s Hospital,,,,
HIGH,CN,Beijing Sport University,,,,
HIGH,CN,Hefei Institutes of Physical Science,Chinese Academy of Sciences,,,
HIGH,CN,Chongqing Technology and Business University,,,,
HIGH,CN,Shandong Provincial Hospital,,,,
HIGH,CN,Center for High Pressure Science & Technology Advanced Research,Military,,Yes,
HIGH,CN,Xiamen University of Technology,,,,
HIGH,CN,North China University of Technology,,,,
HIGH,CN,Shanghai Changzheng Hospital,Military,,,
MEDIUM,CN,Xi'an Technological University,,,,
HIGH,CN,Shanghai Institute of Optics and Fine Mechanics,Chinese Academy of Sciences,,,
HIGH,CN,Qingdao National Laboratory for Marine Science and Technology,,,,
HIGH,CN,Institute of Rock and Soil Mechanics,Chinese Academy of Sciences,,,
HIGH,CN,Zunyi Medical University,,,,
HIGH,CN,First Institute of Oceanography,Ministry of Natural Resources,,,
HIGH,CN,Xi'an Institute of Optics and Precision Mechanics,Chinese Academy of Sciences,,,
HIGH,CN,Chongqing Normal University,,,,
HIGH,CN,First Affiliated Hospital of Dalian Medical University,,,,
HIGH,CN,Institute of Applied Physics and Computational Mathematics,Military,,Yes,
HIGH,CN,Institute of Electrical Engineering,Chinese Academy of Sciences,,,
HIGH,CN,Shenyang Institute of Automation,Chinese Academy of Sciences,,Yes,
HIGH,CN,Chongqing Institute of Green and Intelligent Technology,Chinese Academy of Sciences,,,
HIGH,CN,Guilin Medical University,,,,
HIGH,CN,Anhui University of Technology,,,,
HIGH,CN,Beijing Proteome Research Center,,,,
HIGH,CN,Nanjing General Hospital of Nanjing Military Command,,,,
MEDIUM,CN,China National Offshore Oil Corporation,State-owned enterprise,,,
HIGH,CN,Wuhan Institute of Physics and Mathematics,Chinese Academy of Sciences,,,
HIGH,CN,Affiliated Hospital of Guizhou Medical University,,,,
MEDIUM,CN,China Academy of Space Technology,,,,
MEDIUM,CN,China National Chemical Corporation,State-owned enterprise,,,
HIGH,CN,Dalian University,,,,
HIGH,CN,Shenyang University of Technology,,,,
HIGH,CN,Shaanxi University of Technology,,,,
HIGH,CN,Chongqing General Hospital,,,,
HIGH,CN,Guangxi University of Chinese Medicine,,,,
HIGH,CN,Tang Du Hospital,Military,,,
HIGH,CN,Computer Network Information Center,Chinese Academy of Sciences,,,
HIGH,CN,Affiliated Hospital of Zunyi Medical College,,,,
HIGH,CN,Daping Hospital,Military,,,
HIGH,CN,Taihe Hospital,,,,
